기호,내용,0,1,2,3,4,5,6,7,8,9
0,총류,총류∙컴퓨터과학,도서학∙서지학,문헌정보학,백과사전,강연집∙연설문집,일반연속간행물,일반학회∙단체∙협회∙기관∙박물관,신문∙언론∙저널리즘,일반전집∙총서,향토자료
1,철학∙심리학∙윤리학,철학일반,형이상학,인식론∙인과론∙인간학,철학체계,경학∙사서(논어∙맹자∙중용∙대학)∙오경(역∙서∙시∙예∙춘추)∙효경,동양철학∙사상,서양철학,논리학,심리학∙풍수지리∙역술∙관상,윤리학∙도덕철학∙자기계발
2,종교,종교일반,비교종교학,불교,기독교천주교유대교,도교,천도교단군교대종교,없음,힌두교∙브라만교,이슬람교(마호메트∙코란 등)∙조로아스터교,기타 종교
3,사회과학,사회과학일반,통계학,경제학∙경영학∙관광경영∙부동산∙회계학∙조세∙보험∙취업,사회학∙사회복지∙사회문제,정치학∙외교학∙선거∙입법∙통일∙남북관계,행정학∙경비지도사∙경호∙경찰,법학,교육학,풍속∙예절∙민속학,국방∙군사학
4,자연과학,자연과학일반,수학,물리학,화학,천문학,지구과학,광물학,생명과학,식물학,동물학
5,기술과학,기술과학일반,의학∙약학∙한의학∙보건학∙간호학∙다이어트∙요가,농학∙수의학∙수산학∙임업∙조경,공학∙공업일반∙토목공학∙환경공학∙도시공학,건축공학∙건축재료·구조·설비·마감,기계공학∙군사공학∙원자핵공학∙자동차∙로봇,전기공학∙전자공학,화학공학∙연료공업∙식품공학∙음료기술(와인∙커피∙ 차),제조업∙인쇄술,생활과학∙의복∙미용∙식음료∙주택관리∙육아
6,예술,예술일반,,조각 및조형예술,공예∙장식미술,서예,회화∙도화∙판화,사진예술,음악∙국악∙오페라∙뮤지컬,공연예술및매체예술∙영화∙연극∙무용∙대중연예등,오락∙스포츠
7,언어,언어일반,한국어,중국어,일본어및 기타아시아어,영어,독일어및 기타게르만어,프랑스어,스페인어포르투갈어,이탈리어,기타언어
8,문학,문학일반,한국문학,중국문학,일본문학및 기타아시아문학,영미문학,독일문학및 기타게르만문학,프랑스문학,스페인문학포르투갈문학,이탈리아문학,기타문학
9,역사∙지리∙관광,역사일반,아시아,유럽,아프리카,북아메리카,남아메리카,오세아니아,없음,지리∙관광,전기∙족보
