saleMonth,saleProduct,saleQy,saleStore,saleUnitPrice
11,편백안마봉,1,효자직매장,12000
11,편백나무주걱,11,효자직매장,5000
11,편백나무보조목침,1,효자직매장,15000
11,편백나무베개볼,1,효자직매장,12000
11,편백나무베개볼,3,효자직매장,10000
11,편백나무목침,1,효자직매장,16000
11,편백나무목침,2,효자직매장,19000
11,편백나무목침,5,효자직매장,16000
11,편백나무목침,1,효자직매장,15500
11,편백나무도마,1,효자직매장,38000
11,편백나무도마,1,효자직매장,32000
11,편백나무도마,1,효자직매장,30000
11,편백나무도마,1,효자직매장,25000
11,편백나무도마,1,효자직매장,23000
11,편백나무도마,6,효자직매장,20000
11,편백나무도마,2,효자직매장,15000
11,편백운동기구,1,효자직매장,20000
11,편백절구공이,1,효자직매장,7000
11,포기김치,240,효자직매장,8700
11,표고버섯(배지),7,효자직매장,2300
11,표고버섯(배지),26,효자직매장,2500
11,표고버섯(배지),1,효자직매장,3000
11,표고버섯(송화),122,효자직매장,3600
11,표고버섯(송화),19,효자직매장,4600
11,표고버섯(슬),47,효자직매장,2800
11,표고버섯(슬),233,효자직매장,3000
11,표고버섯(슬),1,효자직매장,4500
11,표고버섯(슬),1,효자직매장,4500
11,표고버섯(원목),2,효자직매장,8000
11,표고버섯(원목),25,효자직매장,11000
11,표고버섯(원목),3,효자직매장,12000
11,표고버섯(원목),1,효자직매장,2000
11,표고버섯(원목),174,효자직매장,3000
11,표고버섯(원목),20,효자직매장,3300
11,표고버섯(원목),14,효자직매장,3500
11,표고버섯(원목),27,효자직매장,4000
11,표고버섯(원목),3,효자직매장,5000
11,표고버섯(원목),4,효자직매장,4500
11,표고버섯(원목),86,효자직매장,4300
11,표고버섯(원목),37,효자직매장,4200
11,표고버섯(원목),64,효자직매장,4000
11,표고버섯(원목),48,효자직매장,3800
11,표고버섯(원목),42,효자직매장,3700
11,표고버섯(원목),10,효자직매장,3000
11,표고버섯(원목),194,효자직매장,3500
11,표고버섯(원목),137,효자직매장,3000
11,표고버섯(원목),1,효자직매장,1500
11,표고버섯(배지),12,효자직매장,3000
11,표고버섯(배지),17,효자직매장,2700
11,포도(머루),2,효자직매장,4000
11,포도(머루),6,효자직매장,8000
11,포도(머루),12,효자직매장,12000
11,포인세티아,4,효자직매장,6000
11,포장랩,7,효자직매장,15000
