saleMonth,saleProduct,saleQy,saleStore,saleUnitPrice
8,강황분말,2,둔산직매장,22000
8,개척1호콩(서리태),3,둔산직매장,20000
8,건가지,5,둔산직매장,2500
8,건고사리,9,둔산직매장,10000
8,건고사리,5,둔산직매장,4500
8,건고사리,17,둔산직매장,5000
8,건고추,30,둔산직매장,5000
8,건고추,1,둔산직매장,20000
8,건고추,11,둔산직매장,23000
8,건곰보배추,2,둔산직매장,10000
8,건구기자,7,둔산직매장,13000
8,건노루궁뎅이버섯,2,둔산직매장,18000
8,건당근,1,둔산직매장,2500
8,건당근,3,둔산직매장,2500
8,건대추,5,둔산직매장,12500
8,강낭콩,1,둔산직매장,8000
8,강낭콩,14,둔산직매장,3000
8,강낭콩,1,둔산직매장,10000
8,감말랭이,4,둔산직매장,9000
8,감자,12,둔산직매장,700
8,감자,11,둔산직매장,1000
8,감자,1,둔산직매장,1100
8,감자,16,둔산직매장,1200
8,감자,4,둔산직매장,1300
8,감자,70,둔산직매장,1500
8,감자,14,둔산직매장,1800
8,감자,267,둔산직매장,2000
8,감자,1,둔산직매장,1000
8,감자,3,둔산직매장,2000
8,감자(수미),1,둔산직매장,1000
8,감자(수미),4,둔산직매장,1500
8,감자(수미),4,둔산직매장,2000
8,감자(자색),5,둔산직매장,1500
8,감자(자색),13,둔산직매장,2000
8,건대추,24,둔산직매장,3800
8,건돼지감자,6,둔산직매장,5000
8,한우등심(국내산),1,둔산직매장,20710
8,한우등심(국내산),1,둔산직매장,23460
8,한우등심(국내산),1,둔산직매장,19380
8,한우등심(국내산),1,둔산직매장,23000
8,한우등심(국내산),1,둔산직매장,22770
8,한우등심(국내산),1,둔산직매장,21850
8,한우등심(국내산),1,둔산직매장,21390
8,한우등심(국내산),1,둔산직매장,21160
8,한우등심(국내산),1,둔산직매장,20240
8,한우등심(국내산),1,둔산직매장,19550
8,한우등심(국내산),1,둔산직매장,17940
8,한우등심(국내산),1,둔산직매장,17250
8,한우등심(국내산),1,둔산직매장,15640
8,한우등심(국내산),1,둔산직매장,14490
8,한우등심(국내산),1,둔산직매장,40000
8,풋호박,2,둔산직매장,2000
8,한우등심(국내산),1,둔산직매장,27600
8,한우등심(국내산),2,둔산직매장,23560
8,건딸기,14,둔산직매장,2500
8,건딸기,4,둔산직매장,4000
8,건망초,2,둔산직매장,3000
8,한우등심(국내산),1,둔산직매장,36860
8,한우등심(국내산),1,둔산직매장,42550
8,한우등심(국내산),1,둔산직매장,40940
8,한우등심(국내산),1,둔산직매장,40250
8,한우등심(국내산),1,둔산직매장,38180
8,한우등심(국내산),1,둔산직매장,37260
8,한우등심(국내산),1,둔산직매장,36110
8,한우등심(국내산),1,둔산직매장,35190
8,한우등심(국내산),1,둔산직매장,28500
8,한우등심(국내산),1,둔산직매장,25270
8,한우등심(국내산),1,둔산직매장,25080
8,한우등심(국내산),1,둔산직매장,24700
8,한우등심(국내산),1,둔산직매장,28980
8,감말랭이,2,둔산직매장,7000
8,간장(국),1,둔산직매장,10000
8,한우양지(국내산),1,둔산직매장,11340
8,한우양지(국내산),2,둔산직매장,10500
8,한우양지(국내산),1,둔산직매장,10400
8,한우양지(국내산),1,둔산직매장,10200
8,한우양지(국내산),1,둔산직매장,10400
8,한우양지(국내산),1,둔산직매장,10690
8,한우양지(국내산),1,둔산직매장,10580
8,한우양지(국내산),1,둔산직매장,10150
8,한우양지(국내산),1,둔산직매장,9100
8,한우양지(국내산),1,둔산직매장,9720
8,한우양지(국내산),1,둔산직매장,9610
8,한우양지(국내산),1,둔산직매장,9500
8,한우양지(국내산),1,둔산직매장,9150
8,한우양지(국내산),1,둔산직매장,9390
8,한우양지(국내산),1,둔산직매장,8100
8,한우양지(국내산),1,둔산직매장,6900
8,한우양지(국내산),2,둔산직매장,11770
8,한우양지(국내산),1,둔산직매장,11000
8,한우양지(국내산),3,둔산직매장,12960
8,한우양지(국내산),1,둔산직매장,12000
8,한우양지(국내산),2,둔산직매장,12850
8,한우양지(국내산),2,둔산직매장,11900
8,한우양지(국내산),2,둔산직매장,12740
8,한우양지(국내산),2,둔산직매장,12630
8,한우양지(국내산),3,둔산직매장,12520
8,한우양지(국내산),1,둔산직매장,12060
8,한우양지(국내산),1,둔산직매장,12420
8,한우양지(국내산),1,둔산직매장,12310
8,한우양지(국내산),1,둔산직매장,11850
8,한우양지(국내산),1,둔산직매장,11400
8,한우양지(국내산),2,둔산직매장,12200
8,한우양지(국내산),1,둔산직매장,12090
8,한우양지(국내산),3,둔산직매장,11980
8,한우양지(국내산),1,둔산직매장,11880
8,한우양지(국내산),1,둔산직매장,6300
8,한우양지(국내산),1,둔산직매장,6040
8,한우양지(국내산),1,둔산직매장,11000
8,가지,46,둔산직매장,1200
8,가지,3,둔산직매장,1300
8,가지,47,둔산직매장,1400
8,가지,166,둔산직매장,1500
8,가지,38,둔산직매장,1600
8,가지,17,둔산직매장,1700
8,가지,44,둔산직매장,1800
8,가지,15,둔산직매장,1000
8,가지,4,둔산직매장,1200
8,가지,19,둔산직매장,1800
8,가지,1,둔산직매장,2000
8,가지,22,둔산직매장,1500
8,가지고추,2,둔산직매장,1300
8,가지고추,3,둔산직매장,1200
8,가지고추,7,둔산직매장,1500
8,간장(국),2,둔산직매장,6000
8,가지,41,둔산직매장,1000
8,가지,1,둔산직매장,1500
8,한우안심(국내산),1,둔산직매장,60000
8,한우살치살(국내산),1,둔산직매장,23520
8,한우살치살(국내산),1,둔산직매장,19600
8,한우등심(국내산),1,둔산직매장,100280
8,한우등심(국내산),1,둔산직매장,97750
8,한우등심(국내산),1,둔산직매장,47690
8,한우등심(국내산),1,둔산직매장,53130
8,한우등심(국내산),1,둔산직매장,52670
8,가지,50,둔산직매장,1500
8,가지,18,둔산직매장,1600
8,가지,85,둔산직매장,1800
8,가지,1,둔산직매장,2000
8,가지,16,둔산직매장,2100
8,가지,27,둔산직매장,2300
8,가지,30,둔산직매장,1000
8,가지,10,둔산직매장,1300
8,풋호박,1,둔산직매장,3000
8,풋호박,7,둔산직매장,1500
8,포도(거봉),75,둔산직매장,9000
8,포도,3,둔산직매장,10000
8,포도,3,둔산직매장,9000
8,포도,29,둔산직매장,10000
8,포도,27,둔산직매장,9000
8,포기김치,78,둔산직매장,7800
8,편백절구공이,1,둔산직매장,5000
8,편백운동기구,1,둔산직매장,20000
8,편백안마봉,1,둔산직매장,12000
8,편백나무주걱,1,둔산직매장,5000
8,편백나무볼베개,2,둔산직매장,25000
8,편백나무볼베개,1,둔산직매장,23000
8,편백나무베개볼,1,둔산직매장,12000
8,편백나무베개볼,3,둔산직매장,10000
8,편백나무목침,1,둔산직매장,17000
8,편백나무목침,1,둔산직매장,16000
8,포도(거봉),104,둔산직매장,10000
8,포도(거봉),13,둔산직매장,11000
8,포도(청),2,둔산직매장,5000
8,포도(청),1,둔산직매장,6000
8,포도(청),3,둔산직매장,5500
8,포도(청),1,둔산직매장,5000
8,포도(청),1,둔산직매장,5500
8,포도(청),10,둔산직매장,5000
8,포도(청),2,둔산직매장,4500
8,포도(청),2,둔산직매장,4000
8,포도(청),2,둔산직매장,15000
8,포도(스튜벤),9,둔산직매장,13000
8,포도(샤인마스캇),2,둔산직매장,36000
8,포도(리자마트),2,둔산직매장,5000
8,포도(거봉),30,둔산직매장,22000
8,포도(거봉),112,둔산직매장,20000
8,포도(거봉),152,둔산직매장,18000
8,포도(거봉),3,둔산직매장,17000
8,편강(중),3,둔산직매장,15000
8,편강(소),10,둔산직매장,5400
8,파김치,64,둔산직매장,8000
8,통밀쌀,1,둔산직매장,5000
8,통밀쌀,4,둔산직매장,3300
8,통밀국수,8,둔산직매장,2700
8,통밀건빵,27,둔산직매장,2000
8,통밀가루,7,둔산직매장,3500
8,토마토쥬스,2,둔산직매장,3900
8,토마토,1,둔산직매장,15000
8,토마토,3,둔산직매장,14000
8,토마토,7,둔산직매장,5500
8,토마토,16,둔산직매장,6000
8,토마토,104,둔산직매장,5500
8,토마토,16,둔산직매장,5000
8,토마토,5,둔산직매장,2750
8,토마토,1,둔산직매장,5000
8,토마토,1,둔산직매장,4000
8,파채,8,둔산직매장,1000
8,파채,56,둔산직매장,1200
8,편강(선물세트),3,둔산직매장,25000
8,편강(선물세트),1,둔산직매장,14000
8,편강(대),3,둔산직매장,24000
8,편강,6,둔산직매장,11800
8,편강,4,둔산직매장,5500
8,편강,3,둔산직매장,20800
8,팽이버섯,9,둔산직매장,2500
8,팽이버섯,368,둔산직매장,1800
8,팽이버섯,5,둔산직매장,900
8,팥찰시루떡,30,둔산직매장,3400
8,팥시루떡,34,둔산직매장,3400
8,팥(적),4,둔산직매장,11000
8,팥,1,둔산직매장,13000
8,팥,10,둔산직매장,11000
8,팔찌(구슬),7,둔산직매장,1900
8,파채,3,둔산직매장,1500
8,포도(청),7,둔산직매장,6000
8,포도(청),1,둔산직매장,6500
8,포도(청),1,둔산직매장,5500
8,풋고추,34,둔산직매장,1500
8,풋고추,97,둔산직매장,1200
8,풋고추,110,둔산직매장,1000
8,풋고추,20,둔산직매장,1000
8,표고버섯(배지-슬),7,둔산직매장,2000
8,표고버섯(배지),15,둔산직매장,3700
8,표고버섯(배지),40,둔산직매장,3500
8,표고버섯(배지),193,둔산직매장,3300
8,표고버섯(배지),5,둔산직매장,3100
8,표고버섯(배지),74,둔산직매장,3000
8,표고버섯(배지),1,둔산직매장,2800
8,표고버섯(배지),1,둔산직매장,2500
